file_name,status,cdn_link
Advance bridal.jpg,success,https://cdn.yellowmessenger.com/MwjKsuD1Xua31647407222611.jpg
Do-It-Yourself Makeup.jpg,success,https://cdn.yellowmessenger.com/HjXFtNV0wBzu1647407255509.jpg
Express Skin.jpg,failure,
Hair Updo.jpeg,success,https://cdn.yellowmessenger.com/YiFAmltJ0gjM1647407288130.jpeg
Microblading Expert.jpg,success,https://cdn.yellowmessenger.com/OFH5Ppt9W8Nv1647407314223.jpg
Premium eyelash.jpg,success,https://cdn.yellowmessenger.com/HAdqqJEp1VX81647407328348.jpg
Professional Makeup.jpg,success,https://cdn.yellowmessenger.com/Yfy4zVkyelyP1647407375932.jpg
Professional Microblading.jpg,success,https://cdn.yellowmessenger.com/pFMsTAxWCpKZ1647407400074.jpg
advance cosmetology.jpg,success,https://cdn.yellowmessenger.com/EZYo6o1aAnxD1647407426548.jpg
basic cosmetology.jpg,success,https://cdn.yellowmessenger.com/1RTDjh5BKBAr1647407440976.jpg
express eyelash.jpg,success,https://cdn.yellowmessenger.com/THudfnrEm9EC1647407451434.jpg
men's barbering.jpg,success,https://cdn.yellowmessenger.com/agfMcDYE5iDD1647407480033.jpg
saree draping.jpg,success,https://cdn.yellowmessenger.com/ZOzdZVrl1U1g1647407501117.jpg
sassoon comprehensive cut .jpg,success,https://cdn.yellowmessenger.com/jsmrzAiMCmPe1647407521940.jpg
