	name	city	fulladdress	lat	long	location	cityalias	display_address	pincode	storemap_link	store_status
314567	A.R.READYMADE GARMENTS	NEEMUCH	PETER ENGLAND SHOWROOM,NAREDI COMPLEX , NEAR DASHERA MAIDAN , OPP FIROZE SHAH PETROL PUMP , NEEMUCH (M. P.)458441	24.459907	74.864667	24.459907,74.864667	NEEMUCH	PETER ENGLAND SHOWROOM,NAREDI COMPLEX , NEAR DASHERA MAIDAN , OPP FIROZE SHAH PETROL PUMP , NEEMUCH (M. P.)458441	458441		
313450	ANJANA GARMENTS	SANGLI	PETER ENGLAND SHOWROOM,RAJWADA CHOWK, SANGLI, MAHARASHTRA- 416416	16.89630123	74.56691784	16.89630123,74.56691784	SANGLI	PETER ENGLAND SHOWROOM,RAJWADA CHOWK, SANGLI, MAHARASHTRA- 416416	416416		
314582	ASHOKA 3	BHILAI	PETER ENGLAND SHOWROOM,1/5, AKASH GANGA COMPLEX SUPELA BHILAI490023	21.205562	81.348565	21.205562,81.348565	BHILAI	PETER ENGLAND SHOWROOM,1/5, AKASH GANGA COMPLEX SUPELA BHILAI490023	490023		
313583	DRESS CIRCLE	NAGPUR	PETER ENGLAND SHOWROOM,212, UTKHANA ROAD , NEAR MEDICAL SQUARE, NAGPUR - 440002 .440009	21.1343867	79.0829818	21.1343867,79.0829818	NAGPUR	PETER ENGLAND SHOWROOM,212, UTKHANA ROAD , NEAR MEDICAL SQUARE, NAGPUR - 440002 .440009	440009		
314529	GAGAN	BILASPUR	PETER ENGLAND SHOWROOM,SHOP NO B-1, RAJIV PLAZA ,OPP. AXIS BANK  BILASPUR- CHHATTISGARH495001	22.075018	82.159347	22.075018,82.159347	BILASPUR	PETER ENGLAND SHOWROOM,SHOP NO B-1, RAJIV PLAZA ,OPP. AXIS BANK  BILASPUR- CHHATTISGARH495001	495001		
314565	KANISHKA COLLECTION	WAIDHAN	PETER ENGLAND SHOWROOM,KANISHA COLLECTION,NEAR BAGHEL,PETROL PUMP,VINDHYANAGAR MAIN ROAD,WAIDHAN, SINGRAULLI, MADHYA PRADESH486886	24.11525	82.64434	24.11525,82.64434	WAIDHAN	PETER ENGLAND SHOWROOM,KANISHA COLLECTION,NEAR BAGHEL,PETROL PUMP,VINDHYANAGAR MAIN ROAD,WAIDHAN, SINGRAULLI, MADHYA PRADESH486886	486886		
314648	M/S PRAKASH PARIDHAN NX	UJJAIN	PETER ENGLAND SHOWROOM,84/15, VIKRAM MARG SHAHID PARK, FREEGANJ UJJAIN (M. P.)456010	23.178716	75.790751	23.178716,75.790751	UJJAIN	PETER ENGLAND SHOWROOM,84/15, VIKRAM MARG SHAHID PARK, FREEGANJ UJJAIN (M. P.)456010	456010		
313549	M/S SELECTIONS	LATUR	PETER ENGLAND SHOWROOM,LIFE STYLE – I, AUSA ROAD, , RAJIV GANDHI CHOWK, , LATUR413531	18.38347	76.5511953	18.38347,76.5511953	LATUR	PETER ENGLAND SHOWROOM,LIFE STYLE – I, AUSA ROAD, , RAJIV GANDHI CHOWK, , LATUR413531	413531		
313548	PRARTHANA ENTERPRISES	PUNE	PETER ENGLAND SHOWROOM,NEAR CANARA BANK,DHANORI LOHEGAON ROAD, SR NO. 17, SHOP NO. HG-2,GOODWILL SQUARE411015	18.5985251	73.9036752	18.5985251,73.9036752	PUNE	PETER ENGLAND SHOWROOM,NEAR CANARA BANK,DHANORI LOHEGAON ROAD, SR NO. 17, SHOP NO. HG-2,GOODWILL SQUARE411015	411015		
313584	PRIDE	PUNE	PETER ENGLAND SHOWROOM,MUMBAI PUNE RD, SHOP NO 47-50,TAPASVI PLAZA,411 011	18.6489785	73.7865905	18.6489785,73.7865905	PUNE	PETER ENGLAND SHOWROOM,MUMBAI PUNE RD, SHOP NO 47-50,TAPASVI PLAZA,411 011	411011		
313669	SALASAR APPAREL	NANDED	PETER ENGLAND SHOWROOM,SHOP NO. 5,6 PAWDE COMPLEX,OPP LOKMAT OFFICE SHIVAJI NAGAR, NANDED431602	19.5540644	75.9431445	19.5540644,75.9431445	NANDED	PETER ENGLAND SHOWROOM,SHOP NO. 5,6 PAWDE COMPLEX,OPP LOKMAT OFFICE SHIVAJI NAGAR, NANDED431602	431602		
314580	SATI FASHION	KORBA	PETER ENGLAND SHOWROOM,NEAR SS PLAZA , P H ROAD KORBA , CHATTISGARH 494001	22.350278	82.700278	22.350278,82.700278	KORBA	PETER ENGLAND SHOWROOM,NEAR SS PLAZA , P H ROAD KORBA , CHATTISGARH 494001	494001		
314581	SHREE SADHU MENS WEAR	SHAHDOL	PETER ENGLAND SHOWROOM,IN FRONT OF HOTEL SURYA BURHAR ROAD SHAHDOL- (M. P.)484771	23.302479	81.360918	23.302479,81.360918	SHAHDOL	PETER ENGLAND SHOWROOM,IN FRONT OF HOTEL SURYA BURHAR ROAD SHAHDOL- (M. P.)484771	484771		
314566	UNIQUE GARMENTS	REWA	PETER ENGLAND SHOWROOM,SHOP NO 1, ASHIRWAD TOWER, BESIDE LIBERTY SHOWROOM,ALLAHABAD ROAD, URRAHAT, REWA, MADHYA PRADESH486001	24.538816	81.293609	24.538816,81.293609	REWA	PETER ENGLAND SHOWROOM,SHOP NO 1, ASHIRWAD TOWER, BESIDE LIBERTY SHOWROOM,ALLAHABAD ROAD, URRAHAT, REWA, MADHYA PRADESH486001	486001		
ADHC000388	A ONE VIRAR	MUMBAI	PETER ENGLAND SHOWROOM,VIVA SUPERMARKET PVT.LTD, SHOP NO. 3 , VIVA GOKUL,NEAR AXIS BANK, GOKUL TOWNSHIP AGASHI ROAD, VIRAR (W.)401303	19.4505	72.79608333	19.4505,72.79608333	MUMBAI	PETER ENGLAND SHOWROOM,VIVA SUPERMARKET PVT.LTD, SHOP NO. 3 , VIVA GOKUL,NEAR AXIS BANK, GOKUL TOWNSHIP AGASHI ROAD, VIRAR (W.)401303	401303		
ADHC000402	A ONE VIRAR EAST	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.4, NILGIRI VIVA COMPLEX, MANVELPADA ROAD, VIRAR EAST401305	19.44908333	72.81677778	19.44908333,72.81677778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.4, NILGIRI VIVA COMPLEX, MANVELPADA ROAD, VIRAR EAST401305	401305		
ADHC000416	ADDON ENTERPRISES - AIROLI (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,NO .11 SHIVASHANKAR COMPLEX. SECTOR 7 AIROLI, NAVI MUMBAI 400708	19.14775	72.99536111	19.14775,72.99536111	MUMBAI	PETER ENGLAND SHOWROOM,NO .11 SHIVASHANKAR COMPLEX. SECTOR 7 AIROLI, NAVI MUMBAI 400708	400708		
ADHC000408	ADDON ANDHERI METRO	MUMBAI	PETER ENGLAND SHOWROOM,ANDHERI METRO STATION, 1ST FLOOR, 400059	19.121	72.84877778	19.121,72.84877778	MUMBAI	PETER ENGLAND SHOWROOM,ANDHERI METRO STATION, 1ST FLOOR, 400059	400059		
ADHC000418	ADDON ENTERPRISES - KHARGHAR (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,LITTLE WORLD MALL 1ST FLOOR , KHARGHAR NEAR STATION , NEW MUMBAI-410210	19.02961111	73.06494444	19.02961111,73.06494444	MUMBAI	PETER ENGLAND SHOWROOM,LITTLE WORLD MALL 1ST FLOOR , KHARGHAR NEAR STATION , NEW MUMBAI-410210	410210		
ADHC000420	ADDON ENTERPRISES - NALASOPARA (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5-6, GREEN BUILDING, JAI VIJAY NAGAR, VASAI LINK ROAD, NALASOPARA EAST401209	19.40488889	72.82902778	19.40488889,72.82902778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5-6, GREEN BUILDING, JAI VIJAY NAGAR, VASAI LINK ROAD, NALASOPARA EAST401209	401209		
ADHC000425	ADDON ENTERPRISES - THANE (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.1 &2, SHRUSHTI COMPLEX, OPPOSITE RAJMATA VADAPAV, BESIDES BANK OF BARODA, RAM MARUTI ROAD, THANE400602	19.18927778	72.97230556	19.18927778,72.97230556	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.1 &2, SHRUSHTI COMPLEX, OPPOSITE RAJMATA VADAPAV, BESIDES BANK OF BARODA, RAM MARUTI ROAD, THANE400602	400602		
SEPL000227	ALPHA FASHION	SURAT	PETER ENGLAND SHOWROOM,G- 4, TIME SQUARE, , NR. BHULKA BHUVAN SCHOOL, , ADAJAN ROAD, SURAT - 395009. GUJARAT395009	21.19277778	72.79944444	21.19277778,72.79944444	SURAT	PETER ENGLAND SHOWROOM,G- 4, TIME SQUARE, , NR. BHULKA BHUVAN SCHOOL, , ADAJAN ROAD, SURAT - 395009. GUJARAT395009	395009		
ADHC000389	AONE NALASOPARA	MUMBAI	PETER ENGLAND SHOWROOM,SWASTICK MEGA CITY,ASTER APARTMENT,GALA NO. 20-21GROUND FLOOR,PATENKAR PARK,NALASOPARA -WEST  401203	19.42016667	72.81108333	19.42016667,72.81108333	MUMBAI	PETER ENGLAND SHOWROOM,SWASTICK MEGA CITY,ASTER APARTMENT,GALA NO. 20-21GROUND FLOOR,PATENKAR PARK,NALASOPARA -WEST  401203	401203		
SEPL000206	BURHANI GROUP	DAHOD	PETER ENGLAND SHOWROOM,GF, PARSHWA PLAZA, BESIDES CHEERS RESTAURANT, NEAR NAVJEEVAN MILL ROAD, DAHOD. 389151	21.51055556	70.45805556	21.51055556,70.45805556	DAHOD	PETER ENGLAND SHOWROOM,GF, PARSHWA PLAZA, BESIDES CHEERS RESTAURANT, NEAR NAVJEEVAN MILL ROAD, DAHOD. 389151	389151		
ADHC000372	COLOR PALETTE KAMOTHE	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO-6,BHOOMI RATNA CO OP . HSG SOC,NEAR BANK OF BARODA OPP CCD, SECTOR NO-18 KAMOTHE NAVI MUMBAI-410209	19.01541667	73.08930556	19.01541667,73.08930556	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO-6,BHOOMI RATNA CO OP . HSG SOC,NEAR BANK OF BARODA OPP CCD, SECTOR NO-18 KAMOTHE NAVI MUMBAI-410209	410209		
ADHC000377	COLOR PALETTE KHARGHAR	MUMBAI	PETER ENGLAND SHOWROOM,GROUND FLOOR, GALAXY CARINA, BESIDES DMART, SECTOR 15, KHARGHAR400701	19.04141667	73.07622222	19.04141667,73.07622222	MUMBAI	PETER ENGLAND SHOWROOM,GROUND FLOOR, GALAXY CARINA, BESIDES DMART, SECTOR 15, KHARGHAR400701	400701		
ADHC000400	COLOR PALETTE MAHAD	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5, APPLE PLAZA, ST STAND ROAD, MAHAD402301	18.08166667	73.42894444	18.08166667,73.42894444	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5, APPLE PLAZA, ST STAND ROAD, MAHAD402301	402301		
ADHC000331	COLOR PALETTE PANVEL	MUMBAI	PETER ENGLAND SHOWROOM,PETER ENGLAND SHOP NO.9, KALPATRU CO OP HSC LTD, NEAR DOMINOS SECTOR NO 4. PLOT NO 230 NEW PANVEL 401206401206	19.00247222	73.11719444	19.00247222,73.11719444	MUMBAI	PETER ENGLAND SHOWROOM,PETER ENGLAND SHOP NO.9, KALPATRU CO OP HSC LTD, NEAR DOMINOS SECTOR NO 4. PLOT NO 230 NEW PANVEL 401206401206	401206		
SEPL000072	D-3 COLLECTION	VAPI	PETER ENGLAND SHOWROOM,SHOP 44 TIRUPATI PLAZA, OPP MISSION HOSPITAL, VAPI-DAMAN ROAD,CHALA VAPI -396191  396191	20.38444444	72.90194444	20.38444444,72.90194444	VAPI	PETER ENGLAND SHOWROOM,SHOP 44 TIRUPATI PLAZA, OPP MISSION HOSPITAL, VAPI-DAMAN ROAD,CHALA VAPI -396191  396191	396191		
SEPL000213	D 3 COLLECTION_SILVASSA	SILVASSA	PETER ENGLAND SHOWROOM,STORE NO.5 & 6, RATHOD COMPLEX, NEAR TELEPHONE EXCHANGE, TOKAD KHADA, SILVASSA396230	20.27416667	73.00305556	20.27416667,73.00305556	SILVASSA	PETER ENGLAND SHOWROOM,STORE NO.5 & 6, RATHOD COMPLEX, NEAR TELEPHONE EXCHANGE, TOKAD KHADA, SILVASSA396230	396230		
ADHC000393	FASHION GALLERY	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 2 PLOT NO. 77 SHUBHAM BUILDING, SECTOR 18 KOPERKIRANE 400709	19.0095	73.03608333	19.0095,73.03608333	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 2 PLOT NO. 77 SHUBHAM BUILDING, SECTOR 18 KOPERKIRANE 400709	400709		
SEPL000179	FASHION MANIA	MEHSANA	PETER ENGLAND SHOWROOM,G12 SATATYA COMPLEX, T.B. ROAD, MEHSANA - 384002384002	23.59444444	72.38722222	23.59444444,72.38722222	MEHSANA	PETER ENGLAND SHOWROOM,G12 SATATYA COMPLEX, T.B. ROAD, MEHSANA - 384002384002	384002		
ADHC000097	GFS	MUMBAI	PETER ENGLAND SHOWROOM,11A,CUSROWBAUG , SHAHEED BHAGAT SINGH ROAD , COLABA , MUMBAI - 400 039 400039	18.92008333	72.82986111	18.92008333,72.82986111	MUMBAI	PETER ENGLAND SHOWROOM,11A,CUSROWBAUG , SHAHEED BHAGAT SINGH ROAD , COLABA , MUMBAI - 400 039 400039	400039		
SEPL000129	KALA KRUTI	ANAND	PETER ENGLAND SHOWROOM,TULSI PARK, OPP. PRATHANA VIHAR SHOPPING CENTER,   ANAND-VALLABH VIDHYA NAGAR ROAD, ANAND.388001	22.57222222	72.94694444	22.57222222,72.94694444	ANAND	PETER ENGLAND SHOWROOM,TULSI PARK, OPP. PRATHANA VIHAR SHOPPING CENTER,   ANAND-VALLABH VIDHYA NAGAR ROAD, ANAND.388001	388001		
